product_category_name_english,review_categories_str_modified,order_estimated_delivery_span_hours_from_purchase,order_delivered_customer_span_hours_from_purchase,order_delivered_carrier_span_hours_from_purchase,shipping_limit_date,order_delivered_customer_span_hours_from_carrier,distance_bin_Bin 1,distance_bin_Bin 2,distance_bin_Bin 3,distance_bin_Bin 4,distance_bin_Bin 5,modified_review_score,distance_between_customer_and_seller
bed_bath_table,Delivery_Issue,539.1739042821159,520.2592426335175,108.9364807746678,2018-01-15 06:21:31.964735488,410.5500237875998,43,165,63,123,2,1.7682619647355164,382.650452247569
bed_bath_table,Delivery_Praise,498.6586415610241,210.50247949291574,60.223376833209045,2018-01-01 14:16:57.060402688,150.27910265970667,89,220,61,73,2,4.715883668903803,297.39071347627277
health_beauty,Delivery_Issue,498.87020779500426,481.1285393844548,123.80573691460056,2018-02-02 23:10:41.271318016,350.9438888888889,82,61,63,33,18,1.7635658914728682,412.80261691571303
health_beauty,Delivery_Praise,482.21311512027495,180.85172565864832,66.54765349369988,2018-01-26 12:29:06.214433024,114.30407216494845,201,115,93,39,37,4.8391752577319584,354.26301690492676
sports_leisure,Delivery_Issue,539.6972182680902,545.1015590277777,98.29968468468468,2017-12-30 09:04:16.326893568,448.48636342592596,50,75,90,54,11,1.6512455516014235,385.628827983174
sports_leisure,Delivery_Praise,479.77664856429465,190.29795131086144,62.846642946317104,2018-01-11 11:14:18.417977600,127.45130836454432,171,105,97,60,12,4.8382022471910116,285.37667726166586
computers_accessories,Delivery_Issue,600.7556801554641,552.2993531937734,136.81182383040937,2018-01-06 11:25:26.510288128,407.35544417606013,34,62,60,49,38,1.7654320987654322,484.79859088208406
computers_accessories,Delivery_Praise,534.2689957264957,223.34677521367522,72.5379547008547,2018-01-22 23:13:48.267692288,150.80882051282052,89,64,69,58,45,4.803076923076923,468.5194573798477
furniture_decor,Delivery_Issue,583.0365892531876,531.1764851485149,145.88471212121212,2017-11-26 02:49:44.590163968,379.18352310231023,49,86,66,38,5,1.7008196721311475,343.54012463423766
furniture_decor,Delivery_Praise,542.3379269547326,204.4686049382716,73.62373765432099,2017-11-21 16:39:27.859259136,130.8448672839506,106,80,51,32,1,4.7481481481481485,252.10028674450666
housewares,Delivery_Issue,517.5684051036683,428.7128256172839,119.85505297823597,2018-01-17 22:26:55.909091072,306.5390910493827,63,46,63,32,4,1.861244019138756,314.59922589486365
housewares,Delivery_Praise,457.546,175.94477264393106,60.226962659380696,2018-01-27 09:23:19.265573888,115.63629446277962,129,79,57,37,2,4.822950819672132,248.941150998648
watches_gifts,Delivery_Issue,538.4191589506172,545.7348354564756,103.07638401559456,2018-02-16 23:08:45.872222208,442.02425866949756,47,50,62,21,0,1.6277777777777778,303.6568977107462
watches_gifts,Delivery_Praise,471.2007495974235,184.84127053140097,54.0642616747182,2018-02-02 01:36:29.101449216,130.77700885668276,131,112,70,28,4,4.773913043478261,257.03229317458096
telephony,Delivery_Issue,471.36224853801167,438.28640624999997,135.3633547008547,2017-12-05 12:59:33.842105344,299.44857291666665,38,21,21,6,9,2.0842105263157893,335.75527356730186
telephony,Delivery_Praise,444.74274220032845,181.20422992299228,71.41184181718664,2017-12-29 01:05:28.566502656,109.55857535753576,106,37,36,10,14,4.719211822660099,260.6033178798586
auto,Delivery_Issue,489.51983862433866,481.8946360153257,91.89138613861387,2018-01-31 01:28:02.428571392,384.54075351213277,28,48,11,11,7,1.5714285714285714,329.05474798821456
auto,Delivery_Praise,446.5227045560204,166.58851657329598,54.84549628079963,2018-01-29 04:18:02.995815936,111.71623716153128,120,68,34,10,6,4.7782426778242675,213.58274618981133
toys,Delivery_Issue,530.1222904896422,535.3224545940171,108.37127985462098,2017-12-06 18:52:10.203389952,425.05552350427354,38,27,33,18,0,1.8983050847457628,288.2686164324738
toys,Delivery_Praise,470.71548225308646,155.64293724279835,49.42797839506173,2017-11-11 12:18:45.342592768,106.21495884773661,106,47,36,17,6,4.824074074074074,231.0543498129681
