product_category_name_english,order_purchase_month,review_categories_str_modified,order_delivered_customer_span_hours_from_carrier,distance_between_customer_and_seller,order_id,freight_value,price,sum_price_freight_by_order
bed_bath_table,2016-10,Delivery_Praise,150.33083333333337,554.3945571727029,1,14.69,59.9,74.59
bed_bath_table,2017-01,Delivery_Praise,149.62708333333333,439.70424630757026,4,16.285,77.48,93.765
bed_bath_table,2017-02,Delivery_Issue,141.56305555555556,130.6921001583627,3,12.496666666666668,94.33,106.82666666666667
bed_bath_table,2017-02,Delivery_Praise,191.17967171717171,268.7014516234924,11,15.239545454545453,111.5,126.73954545454545
bed_bath_table,2017-03,Delivery_Issue,513.5959375,418.8633426793896,8,15.415,85.15625,100.57125
bed_bath_table,2017-03,Delivery_Praise,146.32585069444445,406.31244942861076,16,19.696875,124.615625,144.3125
bed_bath_table,2017-04,Delivery_Issue,310.58169444444445,347.99312488860494,10,15.056999999999999,88.436,103.49300000000001
bed_bath_table,2017-04,Delivery_Praise,180.3926984126984,271.19771964296825,7,13.275714285714287,65.47142857142858,78.74714285714286
bed_bath_table,2017-05,Delivery_Issue,456.6232539682539,362.0868553306121,7,13.937142857142856,58.88285714285714,72.82000000000001
bed_bath_table,2017-05,Delivery_Praise,118.54974537037037,262.49022809873577,12,13.060833333333333,80.09833333333334,93.15916666666668
bed_bath_table,2017-06,Delivery_Issue,316.25694444444446,261.80634949390975,8,13.489374999999999,49.487500000000004,62.976875
bed_bath_table,2017-06,Delivery_Praise,197.6327450980392,317.87990945103166,17,16.37470588235294,119.40411764705883,135.77882352941174
bed_bath_table,2017-07,Delivery_Issue,317.3490476190476,377.62561378337307,7,21.985000000000003,100.28428571428572,122.26928571428572
bed_bath_table,2017-07,Delivery_Praise,120.2836200716846,247.26174248328414,31,16.38967741935484,110.91258064516128,127.30225806451612
bed_bath_table,2017-08,Delivery_Issue,172.2516975308642,334.17697953954973,9,13.158888888888889,68.69055555555556,81.84944444444444
bed_bath_table,2017-08,Delivery_Praise,131.35504166666666,243.95106592224903,20,13.463999999999999,123.81700000000001,137.281
bed_bath_table,2017-09,Delivery_Issue,403.6677083333334,391.35054861467347,4,14.595,118.47,133.065
bed_bath_table,2017-09,Delivery_Praise,158.74050925925928,348.8504325667928,18,16.082222222222224,105.52388888888889,121.6061111111111
bed_bath_table,2017-10,Delivery_Issue,413.84353535353534,521.8780078397093,11,18.19363636363636,99.37636363636365,117.57
bed_bath_table,2017-10,Delivery_Praise,185.33842592592592,311.24986970586497,27,14.650185185185185,80.78111111111112,95.4312962962963
bed_bath_table,2017-11,Delivery_Issue,473.7496402550091,481.5001628628788,61,18.879426229508198,99.61434426229509,118.49377049180328
bed_bath_table,2017-11,Delivery_Praise,181.98710185185186,309.1648860252743,30,15.241999999999999,103.78500000000001,119.027
bed_bath_table,2017-12,Delivery_Issue,535.7163663663664,350.48723903239494,37,15.513963963963963,96.15558558558558,111.66954954954956
bed_bath_table,2017-12,Delivery_Praise,133.61980555555556,304.8986520131533,20,14.011500000000002,101.63300000000001,115.6445
bed_bath_table,2018-01,Delivery_Issue,395.7043582375479,351.4475602406617,29,15.583908045977012,77.3085632183908,92.89247126436781
bed_bath_table,2018-01,Delivery_Praise,160.0981851851852,271.7104546617122,30,14.241666666666667,89.72911111111111,103.97077777777778
bed_bath_table,2018-02,Delivery_Issue,562.0723385012919,379.1088203738594,43,17.010697674418605,99.54077519379844,116.55147286821705
bed_bath_table,2018-02,Delivery_Praise,186.16435555555555,249.6931869276689,25,15.7652,91.6484,107.4136
bed_bath_table,2018-03,Delivery_Issue,560.7064772727273,397.79732493563097,44,16.960704545454544,94.52522727272726,111.48593181818183
bed_bath_table,2018-03,Delivery_Praise,178.71165770609318,246.63815696939545,31,16.263763440860217,104.48935483870967,120.7531182795699
bed_bath_table,2018-04,Delivery_Issue,288.2988131313131,360.3372752220449,11,16.184772727272726,92.78181818181818,108.9665909090909
bed_bath_table,2018-04,Delivery_Praise,136.0587152777778,208.7722450337219,24,14.535416666666668,97.18333333333334,111.71875
bed_bath_table,2018-05,Delivery_Issue,238.71368421052634,273.0069329963331,19,14.091929824561404,70.54206140350877,84.63399122807017
bed_bath_table,2018-05,Delivery_Praise,144.6961296296296,283.63624180587806,30,15.422166666666667,105.20538888888889,120.62755555555555
bed_bath_table,2018-06,Delivery_Issue,165.82325555555556,395.9001892924734,25,18.542266666666666,67.72606666666667,86.26833333333335
bed_bath_table,2018-06,Delivery_Praise,124.69683908045975,324.3584673270505,29,16.291206896551724,86.74896551724139,103.0401724137931
bed_bath_table,2018-07,Delivery_Issue,106.90944444444443,296.8574279650786,9,20.672962962962963,149.47981481481483,170.15277777777777
bed_bath_table,2018-07,Delivery_Praise,113.1332662835249,349.70251847970445,29,18.03896551724138,102.31241379310345,120.35137931034483
bed_bath_table,2018-08,Delivery_Issue,203.7817320261438,379.83519043859144,17,22.36470588235294,94.68573529411765,117.0504411764706
bed_bath_table,2018-08,Delivery_Praise,116.76503968253968,372.4810065360213,35,19.546142857142858,108.85685714285714,128.403
health_beauty,2016-09,Delivery_Issue,38.59583333333333,565.9598124931007,1,2.83,44.99,47.82
health_beauty,2016-10,Delivery_Issue,110.02423611111112,367.82670146561253,4,16.9775,56.175,73.1525
health_beauty,2016-10,Delivery_Praise,103.56205555555557,493.4476770160488,5,25.694,166.72,192.414
health_beauty,2017-01,Delivery_Issue,115.89527777777778,289.16531213946274,1,10.96,32.3,43.26
