variable,review_categories_str,count,mean,std,min,25%,50%,75%,max
"Estimated time from 
  purchase to delivery",Delivery_Issue,6582.0,604.4928257199771,214.2037745342108,39.575833333333335,483.049375,583.6265277777778,709.4658333333334,3412.6105555555555
"Estimated time from 
  purchase to delivery",Delivery_Praise,9298.0,563.8789559582707,215.08149714310522,49.26805555555555,420.86263888888885,552.9176388888889,680.6068055555556,2247.974722222222
"Time from 
  purchase to shipping limit",Delivery_Issue,6361.0,170.39896716224615,328.08443778628094,48.1275,120.25472222222224,144.32305555555556,178.0088888888889,25345.0
"Time from 
  purchase to shipping limit",Delivery_Praise,9291.0,154.40739000705582,73.81910198233341,48.10166666666667,120.0,144.27,169.28222222222223,1777.5019444444445
